Date,Product,Category,Region,Units_Sold,Revenue,Profit
2025-06-17,Apple Watch SE,Smartwatch,South,9,270000,48600
2025-06-18,Dell Inspiron 15,Laptop,North,7,455000,81900
2025-06-18,HP LaserJet MFP,Printer,East,5,90000,16200
2025-06-18,Samsung Galaxy S24,Mobile,North,2,144000,25920
2025-06-18,Sony WH-1000XM5,Headphones,South,11,275000,49500
2025-06-18,Apple Watch SE,Smartwatch,West,9,270000,48600
2025-06-19,Dell Inspiron 15,Laptop,West,5,325000,58500
2025-06-19,HP LaserJet MFP,Printer,East,11,198000,35640
2025-06-19,Samsung Galaxy S24,Mobile,East,9,648000,116640
2025-06-19,Sony WH-1000XM5,Headphones,North,4,100000,18000
2025-06-19,Apple Watch SE,Smartwatch,North,12,360000,64800
2025-06-20,Dell Inspiron 15,Laptop,South,12,780000,140400
2025-06-20,HP LaserJet MFP,Printer,South,15,270000,48600
2025-06-20,Samsung Galaxy S24,Mobile,East,5,360000,64800
2025-06-20,Sony WH-1000XM5,Headphones,East,1,25000,4500
2025-06-20,Apple Watch SE,Smartwatch,West,5,150000,27000
2025-06-21,Dell Inspiron 15,Laptop,West,14,910000,163800
2025-06-21,HP LaserJet MFP,Printer,South,11,198000,35640
2025-06-21,Samsung Galaxy S24,Mobile,North,3,216000,38880
2025-06-21,Sony WH-1000XM5,Headphones,North,4,100000,18000
2025-06-21,Apple Watch SE,Smartwatch,South,8,240000,43200
2025-06-22,Dell Inspiron 15,Laptop,West,8,520000,93600
2025-06-22,HP LaserJet MFP,Printer,East,7,126000,22680
2025-06-22,Samsung Galaxy S24,Mobile,East,9,648000,116640
2025-06-22,Sony WH-1000XM5,Headphones,North,10,250000,45000
2025-06-22,Apple Watch SE,Smartwatch,West,14,420000,75600
2025-06-23,Dell Inspiron 15,Laptop,West,15,975000,175500
2025-06-23,HP LaserJet MFP,Printer,West,14,252000,45360
2025-06-23,Samsung Galaxy S24,Mobile,West,2,144000,25920
2025-06-23,Sony WH-1000XM5,Headphones,West,15,375000,67500
2025-06-23,Apple Watch SE,Smartwatch,North,3,90000,16200
2025-06-24,Dell Inspiron 15,Laptop,North,6,390000,70200
2025-06-24,HP LaserJet MFP,Printer,South,14,252000,45360
2025-06-24,Samsung Galaxy S24,Mobile,West,4,288000,51840
2025-06-24,Sony WH-1000XM5,Headphones,North,6,150000,27000
2025-06-24,Apple Watch SE,Smartwatch,West,9,270000,48600
2025-06-25,Dell Inspiron 15,Laptop,West,11,715000,128700
2025-06-25,HP LaserJet MFP,Printer,East,8,144000,25920
2025-06-25,Samsung Galaxy S24,Mobile,East,13,936000,168480
2025-06-25,Sony WH-1000XM5,Headphones,East,14,350000,63000
2025-06-25,Apple Watch SE,Smartwatch,South,11,330000,59400
2025-06-26,Dell Inspiron 15,Laptop,South,12,780000,140400
2025-06-26,HP LaserJet MFP,Printer,North,10,180000,32400
2025-06-26,Samsung Galaxy S24,Mobile,West,7,504000,90720
2025-06-26,Sony WH-1000XM5,Headphones,South,7,175000,31500
2025-06-26,Apple Watch SE,Smartwatch,East,7,210000,37800
2025-06-27,Dell Inspiron 15,Laptop,North,3,195000,35100
2025-06-27,HP LaserJet MFP,Printer,South,12,216000,38880
2025-06-27,Samsung Galaxy S24,Mobile,North,8,576000,103680
2025-06-27,Sony WH-1000XM5,Headphones,East,11,275000,49500
2025-06-27,Apple Watch SE,Smartwatch,South,6,180000,32400
2025-06-28,Dell Inspiron 15,Laptop,North,3,195000,35100
2025-06-28,HP LaserJet MFP,Printer,South,3,54000,9720
2025-06-28,Samsung Galaxy S24,Mobile,North,15,1080000,194400
2025-06-28,Sony WH-1000XM5,Headphones,West,1,25000,4500
2025-06-28,Apple Watch SE,Smartwatch,West,10,300000,54000
2025-06-29,Dell Inspiron 15,Laptop,West,1,65000,11700
2025-06-29,HP LaserJet MFP,Printer,West,14,252000,45360
2025-06-29,Samsung Galaxy S24,Mobile,West,14,1008000,181440
2025-06-29,Sony WH-1000XM5,Headphones,West,1,25000,4500
2025-06-29,Apple Watch SE,Smartwatch,North,3,90000,16200
